"code","Name","Reference.Area.Type..for.UNSD.use.only.","required","GeoAreaName"
4,"Afghanistan","1.0-Global","R","Afghanistan"
248,"Åland Islands","1.0-Global","R","Åland Islands"
8,"Albania","1.0-Global","R","Albania"
12,"Algeria","1.0-Global","R","Algeria"
16,"American Samoa","1.0-Global","R","American Samoa"
20,"Andorra","1.0-Global","R","Andorra"
24,"Angola","1.0-Global","R","Angola"
660,"Anguilla","1.0-Global","R","Anguilla"
28,"Antigua and Barbuda","1.0-Global","R","Antigua and Barbuda"
32,"Argentina","1.0-Global","R","Argentina"
51,"Armenia","1.0-Global","R","Armenia"
533,"Aruba","1.0-Global","R","Aruba"
36,"Australia","1.0-Global","R","Australia"
40,"Austria","1.0-Global","R","Austria"
31,"Azerbaijan","1.0-Global","R","Azerbaijan"
44,"Bahamas","1.0-Global","R","Bahamas"
48,"Bahrain","1.0-Global","R","Bahrain"
50,"Bangladesh","1.0-Global","R","Bangladesh"
52,"Barbados","1.0-Global","R","Barbados"
112,"Belarus","1.0-Global","R","Belarus"
56,"Belgium","1.0-Global","R","Belgium"
84,"Belize","1.0-Global","R","Belize"
204,"Benin","1.0-Global","R","Benin"
60,"Bermuda","1.0-Global","R","Bermuda"
64,"Bhutan","1.0-Global","R","Bhutan"
68,"Bolivia (Plurinational State of)","1.0-Global","R","Bolivia (Plurinational State of)"
535,"Bonaire, Sint Eustatius and Saba","1.0-Global","R","Bonaire, Sint Eustatius and Saba"
70,"Bosnia and Herzegovina","1.0-Global","R","Bosnia and Herzegovina"
72,"Botswana","1.0-Global","R","Botswana"
76,"Brazil","1.0-Global","R","Brazil"
86,"British Indian Ocean Territory","1.0-Global","R","British Indian Ocean Territory"
92,"British Virgin Islands","1.0-Global","R","British Virgin Islands"
96,"Brunei Darussalam","1.0-Global","R","Brunei Darussalam"
100,"Bulgaria","1.0-Global","R","Bulgaria"
854,"Burkina Faso","1.0-Global","R","Burkina Faso"
108,"Burundi","1.0-Global","R","Burundi"
132,"Cabo Verde","1.0-Global","R","Cabo Verde"
116,"Cambodia","1.0-Global","R","Cambodia"
120,"Cameroon","1.0-Global","R","Cameroon"
124,"Canada","1.0-Global","R","Canada"
136,"Cayman Islands","1.0-Global","R","Cayman Islands"
140,"Central African Republic","1.0-Global","R","Central African Republic"
148,"Chad","1.0-Global","R","Chad"
830,"Channel Islands","1.0-Global","R","Channel Islands"
152,"Chile","1.0-Global","R","Chile"
156,"China","1.0-Global","R","China"
344,"China, Hong Kong Special Administrative Region","1.0-Global","R","China, Hong Kong Special Administrative Region"
446,"China, Macao Special Administrative Region","1.0-Global","R","China, Macao Special Administrative Region"
162,"Christmas Island","1.0-Global","R","Christmas Island"
166,"Cocos (Keeling) Islands","1.0-Global","R","Cocos (Keeling) Islands"
170,"Colombia","1.0-Global","R","Colombia"
174,"Comoros","1.0-Global","R","Comoros"
178,"Congo","1.0-Global","R","Congo"
184,"Cook Islands","1.0-Global","R","Cook Islands"
188,"Costa Rica","1.0-Global","R","Costa Rica"
384,"Côte d'Ivoire","1.0-Global","R","Côte d'Ivoire"
191,"Croatia","1.0-Global","R","Croatia"
192,"Cuba","1.0-Global","R","Cuba"
531,"Curaçao","1.0-Global","R","Curaçao"
196,"Cyprus","1.0-Global","R","Cyprus"
203,"Czechia","1.0-Global","R","Czechia"
408,"Democratic People's Republic of Korea","1.0-Global","R","Democratic People's Republic of Korea"
180,"Democratic Republic of the Congo","1.0-Global","R","Democratic Republic of the Congo"
208,"Denmark","1.0-Global","R","Denmark"
262,"Djibouti","1.0-Global","R","Djibouti"
212,"Dominica","1.0-Global","R","Dominica"
214,"Dominican Republic","1.0-Global","R","Dominican Republic"
218,"Ecuador","1.0-Global","R","Ecuador"
818,"Egypt","1.0-Global","R","Egypt"
222,"El Salvador","1.0-Global","R","El Salvador"
226,"Equatorial Guinea","1.0-Global","R","Equatorial Guinea"
232,"Eritrea","1.0-Global","R","Eritrea"
233,"Estonia","1.0-Global","R","Estonia"
748,"Eswatini","1.0-Global","R","Eswatini"
231,"Ethiopia","1.0-Global","R","Ethiopia"
238,"Falkland Islands (Malvinas)","1.0-Global","R","Falkland Islands (Malvinas)"
234,"Faroe Islands","1.0-Global","R","Faroe Islands"
242,"Fiji","1.0-Global","R","Fiji"
246,"Finland","1.0-Global","R","Finland"
250,"France","1.0-Global","R","France"
254,"French Guiana","1.0-Global","R","French Guiana"
258,"French Polynesia","1.0-Global","R","French Polynesia"
260,"French Southern and Antarctic Territories","1.0-Global","R","French Southern and Antarctic Territories"
266,"Gabon","1.0-Global","R","Gabon"
270,"Gambia","1.0-Global","R","Gambia"
268,"Georgia","1.0-Global","R","Georgia"
276,"Germany","1.0-Global","R","Germany"
288,"Ghana","1.0-Global","R","Ghana"
292,"Gibraltar","1.0-Global","R","Gibraltar"
300,"Greece","1.0-Global","R","Greece"
304,"Greenland","1.0-Global","R","Greenland"
308,"Grenada","1.0-Global","R","Grenada"
312,"Guadeloupe","1.0-Global","R","Guadeloupe"
316,"Guam","1.0-Global","R","Guam"
320,"Guatemala","1.0-Global","R","Guatemala"
831,"Guernsey","1.0-Global","R","Guernsey"
324,"Guinea","1.0-Global","R","Guinea"
624,"Guinea-Bissau","1.0-Global","R","Guinea-Bissau"
328,"Guyana","1.0-Global","R","Guyana"
332,"Haiti","1.0-Global","R","Haiti"
334,"Heard Island and McDonald Islands","1.0-Global","R","Heard Island and McDonald Islands"
336,"Holy See","1.0-Global","R","Holy See"
340,"Honduras","1.0-Global","R","Honduras"
348,"Hungary","1.0-Global","R","Hungary"
352,"Iceland","1.0-Global","R","Iceland"
356,"India","1.0-Global","R","India"
360,"Indonesia","1.0-Global","R","Indonesia"
364,"Iran (Islamic Republic of)","1.0-Global","R","Iran (Islamic Republic of)"
368,"Iraq","1.0-Global","R","Iraq"
372,"Ireland","1.0-Global","R","Ireland"
833,"Isle of Man","1.0-Global","R","Isle of Man"
376,"Israel","1.0-Global","R","Israel"
380,"Italy","1.0-Global","R","Italy"
388,"Jamaica","1.0-Global","R","Jamaica"
392,"Japan","1.0-Global","R","Japan"
832,"Jersey","1.0-Global","R","Jersey"
400,"Jordan","1.0-Global","R","Jordan"
398,"Kazakhstan","1.0-Global","R","Kazakhstan"
404,"Kenya","1.0-Global","R","Kenya"
296,"Kiribati","1.0-Global","R","Kiribati"
414,"Kuwait","1.0-Global","R","Kuwait"
417,"Kyrgyzstan","1.0-Global","R","Kyrgyzstan"
418,"Lao People's Democratic Republic","1.0-Global","R","Lao People's Democratic Republic"
428,"Latvia","1.0-Global","R","Latvia"
422,"Lebanon","1.0-Global","R","Lebanon"
426,"Lesotho","1.0-Global","R","Lesotho"
430,"Liberia","1.0-Global","R","Liberia"
434,"Libya","1.0-Global","R","Libya"
438,"Liechtenstein","1.0-Global","R","Liechtenstein"
440,"Lithuania","1.0-Global","R","Lithuania"
442,"Luxembourg","1.0-Global","R","Luxembourg"
450,"Madagascar","1.0-Global","R","Madagascar"
454,"Malawi","1.0-Global","R","Malawi"
458,"Malaysia","1.0-Global","R","Malaysia"
462,"Maldives","1.0-Global","R","Maldives"
466,"Mali","1.0-Global","R","Mali"
470,"Malta","1.0-Global","R","Malta"
584,"Marshall Islands","1.0-Global","R","Marshall Islands"
474,"Martinique","1.0-Global","R","Martinique"
478,"Mauritania","1.0-Global","R","Mauritania"
480,"Mauritius","1.0-Global","R","Mauritius"
175,"Mayotte","1.0-Global","R","Mayotte"
484,"Mexico","1.0-Global","R","Mexico"
583,"Micronesia (Federated States of)","1.0-Global","R","Micronesia (Federated States of)"
492,"Monaco","1.0-Global","R","Monaco"
496,"Mongolia","1.0-Global","R","Mongolia"
499,"Montenegro","1.0-Global","R","Montenegro"
500,"Montserrat","1.0-Global","R","Montserrat"
504,"Morocco","1.0-Global","R","Morocco"
508,"Mozambique","1.0-Global","R","Mozambique"
104,"Myanmar","1.0-Global","R","Myanmar"
516,"Namibia","1.0-Global","R","Namibia"
520,"Nauru","1.0-Global","R","Nauru"
524,"Nepal","1.0-Global","R","Nepal"
528,"Netherlands","1.0-Global","R","Netherlands"
540,"New Caledonia","1.0-Global","R","New Caledonia"
554,"New Zealand","1.0-Global","R","New Zealand"
558,"Nicaragua","1.0-Global","R","Nicaragua"
562,"Niger","1.0-Global","R","Niger"
566,"Nigeria","1.0-Global","R","Nigeria"
570,"Niue","1.0-Global","R","Niue"
